stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening /etc/allegro5rc r
stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening /home/marc/allegro5rc r
stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening /home/marc/PROJECTS/Eagle/EagleGUI/cbbuild/bin/allegro5.cfg r
system   I            xsystem.c:212  xglx_initialize                  [   0.00000] XGLX driver connected to X11 (The X.Org Foundation 11901000).
system   I            xsystem.c:214  xglx_initialize                  [   0.00000] X11 protocol version 11.0.
system   I            xsystem.c:228  xglx_initialize                  [   0.00000] events thread spawned.
system   I             system.c:257  al_install_system                [   0.00000] Allegro version: 5.2.3 (GIT)
PulseAudio D         pulseaudio.c:123  pulseaudio_open                  [   0.00416] PA_CONTEXT_READY
keyboard D          xkeyboard.c:646  _al_xwin_get_keyboard_mapping    [   0.05601] Modifier 2: Caps_Lock NULL NULL NULL
keyboard D          xkeyboard.c:646  _al_xwin_get_keyboard_mapping    [   0.05602] Modifier 3: Control_L Control_R NULL NULL
keyboard D          xkeyboard.c:646  _al_xwin_get_keyboard_mapping    [   0.05603] Modifier 4: Alt_L Alt_R NULL NULL
keyboard D          xkeyboard.c:646  _al_xwin_get_keyboard_mapping    [   0.05604] Modifier 5: Num_Lock NULL NULL NULL
keyboard D          xkeyboard.c:646  _al_xwin_get_keyboard_mapping    [   0.05605] Modifier 6: NULL NULL NULL NULL
keyboard D          xkeyboard.c:646  _al_xwin_get_keyboard_mapping    [   0.05606] Modifier 7: Super_L Super_R NULL NULL
keyboard D          xkeyboard.c:646  _al_xwin_get_keyboard_mapping    [   0.05608] Modifier 8: ISO_Level3_Shift Mode_switch NULL NULL
keyboard D          xkeyboard.c:943  xkeybd_init_keyboard             [   0.05611] Three finger flag enabled: true
dtor     D               dtor.c:196  _al_register_destructor          [   0.05628] added dtor for queue 0x166e030, func 0x7f39ad1a93e7
dtor     D               dtor.c:196  _al_register_destructor          [   0.05635] added dtor for queue 0x166e630, func 0x7f39ad1a93e7
dtor     D               dtor.c:196  _al_register_destructor          [   0.05638] added dtor for queue 0x166ec50, func 0x7f39ad1a93e7
dtor     D               dtor.c:196  _al_register_destructor          [   0.05641] added dtor for queue 0x16702b0, func 0x7f39ad1a93e7
dtor     D               dtor.c:196  _al_register_destructor          [   0.05649] added dtor for queue 0x1670c80, func 0x7f39ad1a93e7
dtor     D               dtor.c:196  _al_register_destructor          [   0.05653] added dtor for queue 0x16711d0, func 0x7f39ad1a93e7
ljoy     W             ljoynu.c:493  ljoy_scan                        [   0.05795] Failed to open device /dev/input/event0
ljoy     W             ljoynu.c:493  ljoy_scan                        [   0.05799] Failed to open device /dev/input/event1
ljoy     W             ljoynu.c:493  ljoy_scan                        [   0.05801] Failed to open device /dev/input/event2
ljoy     W             ljoynu.c:493  ljoy_scan                        [   0.05803] Failed to open device /dev/input/event3
ljoy     W             ljoynu.c:493  ljoy_scan                        [   0.05805] Failed to open device /dev/input/event4
ljoy     W             ljoynu.c:493  ljoy_scan                        [   0.05806] Failed to open device /dev/input/event5
ljoy     W             ljoynu.c:493  ljoy_scan                        [   0.05808] Failed to open device /dev/input/event6
ljoy     W             ljoynu.c:493  ljoy_scan                        [   0.05809] Failed to open device /dev/input/event7
ljoy     W             ljoynu.c:493  ljoy_scan                        [   0.05811] Failed to open device /dev/input/event8
ljoy     W             ljoynu.c:493  ljoy_scan                        [   0.05814] Failed to open device /dev/input/event9
ljoy     W             ljoynu.c:493  ljoy_scan                        [   0.05816] Failed to open device /dev/input/event10
ljoy     W             ljoynu.c:493  ljoy_scan                        [   0.05817] Failed to open device /dev/input/event11
ljoy     W             ljoynu.c:493  ljoy_scan                        [   0.05819] Failed to open device /dev/input/event12
ljoy     W             ljoynu.c:493  ljoy_scan                        [   0.05820] Failed to open device /dev/input/event13
ljoy     W             ljoynu.c:493  ljoy_scan                        [   0.05822] Failed to open device /dev/input/event14
ljoy     D             ljoynu.c:587  ljoy_merge                       [   0.05826] Merge done, num_joysticks=0
ljoy     I             ljoynu.c:679  ljoy_init_joystick               [   0.05832] Hotplugging enabled
touch    D             xtouch.c:334  init_touch_input_api             [   0.05861] No touchscreen device found.
dtor     D               dtor.c:196  _al_register_destructor          [   0.05888] added dtor for queue 0x16818b0, func 0x7f39ad1a93e7
dtor     D               dtor.c:196  _al_register_destructor          [   0.05891] added dtor for queue 0x16819c0, func 0x7f39ad1a93e7
dtor     D               dtor.c:196  _al_register_destructor          [   0.05903] added dtor for timer 0x1681e60, func 0x7f39ad1bc2b6
dtor     D               dtor.c:196  _al_register_destructor          [   0.05906] added dtor for queue 0x1681f60, func 0x7f39ad1a93e7
dtor     D               dtor.c:196  _al_register_destructor          [   0.05907] added dtor for queue 0x1682090, func 0x7f39ad1a93e7
display  I           xdisplay.c:99   query_glx_version                [   0.19459] GLX 1.4.
display  D           xdisplay.c:300  xdpy_create_display_locked       [   0.19466] selected adapter -1
display  D        xfullscreen.c:945  _al_xglx_get_default_adapter     [   0.19467] get default adapter
display  I        xfullscreen.c:189  xinerama_init                    [   0.19477] Xinerama version: 1.1
display  I        xfullscreen.c:201  xinerama_init                    [   0.19481] Xinerama is active
xrandr   I             xrandr.c:799  _al_xsys_xrandr_init             [   0.19486] XRandR version: 1.5
xrandr   D             xrandr.c:211  xrandr_copy_screen               [   0.19506] found 1 crtcs.
xrandr   D             xrandr.c:213  xrandr_copy_screen               [   0.19508] crtc[0] 63.
xrandr   D             xrandr.c:176  xrandr_copy_crtc                 [   0.19511] found 1 outputs.
xrandr   D             xrandr.c:184  xrandr_copy_crtc                 [   0.19512] output[0] 64.
xrandr   D             xrandr.c:225  xrandr_copy_screen               [   0.19514] found 1 outputs.
xrandr   D             xrandr.c:227  xrandr_copy_screen               [   0.19515] output[0] 64.
xrandr   D             xrandr.c:134  xrandr_copy_output               [   0.19518] output[VGA-1] Connected on crtc 63.
xrandr   D             xrandr.c:369  xrandr_query                     [   0.19521] Map Allegro Adadpter 0 to RandR CRTC 63.
xrandr   I             xrandr.c:813  _al_xsys_xrandr_init             [   0.19524] XRandR is active
display  D        xfullscreen.c:147  _al_xsys_get_active_window_center [   0.19530] XGetInputFocus returned 37835543
display  D        xfullscreen.c:161  _al_xsys_get_active_window_center [   0.19533] focus geom: -4x0 508x349
xrandr   D             xrandr.c:682  xrandr_get_default_adapter       [   0.19534] selected default adapter: 0.
display  D           xdisplay.c:306  xdpy_create_display_locked       [   0.19536] xdpy: selected adapter 0
display  D           xdisplay.c:40   _al_xglx_use_adapter             [   0.19537] use adapter 0
display  D        xfullscreen.c:958  _al_xglx_get_xscreen             [   0.19538] get xscreen
display  D           xdisplay.c:316  xdpy_create_display_locked       [   0.19539] xdpy: selected xscreen 0
xglx_config I        xglx_config.c:235  get_visuals_new                  [   0.20044] 300 formats.
xglx_config D        xglx_config.c:238  get_visuals_new                  [   0.20048] -- 
xglx_config D        xglx_config.c:239  get_visuals_new                  [   0.20050] Decoding visual no. 0...
xglx_config D        xglx_config.c:18   display_pixel_format             [   0.20052] Single-buffer: yes
xglx_config D        xglx_config.c:22   display_pixel_format             [   0.20053] Swap method: undefined
xglx_config D        xglx_config.c:23   display_pixel_format             [   0.20054] Color format: r8 g8 b8 a8, 32 bit
xglx_config D        xglx_config.c:29   display_pixel_format             [   0.20055] Depth buffer: 0 bits
xglx_config D        xglx_config.c:30   display_pixel_format             [   0.20059] Sample buffers: no
xglx_config D        xglx_config.c:31   display_pixel_format             [   0.20061] Samples: 0
display  D   display_settings.c:212  debug_display_settings           [   0.20064] color: 32 (rgba 8888), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.20069] Single Buffer requirement not met.
xglx_config D        xglx_config.c:238  get_visuals_new                  [   0.20078] -- 
xglx_config D        xglx_config.c:239  get_visuals_new                  [   0.20081] Decoding visual no. 1...
xglx_config D        xglx_config.c:18   display_pixel_format             [   0.20084] Single-buffer: yes
xglx_config D        xglx_config.c:20   display_pixel_format             [   0.20088] Swap method: copy
xglx_config D        xglx_config.c:23   display_pixel_format             [   0.20091] Color format: r8 g8 b8 a8, 32 bit
xglx_config D        xglx_config.c:29   display_pixel_format             [   0.20093] Depth buffer: 0 bits
xglx_config D        xglx_config.c:30   display_pixel_format             [   0.20099] Sample buffers: no
xglx_config D        xglx_config.c:31   display_pixel_format             [   0.20101] Samples: 0
display  D   display_settings.c:212  debug_display_settings           [   0.20103] color: 32 (rgba 8888), depth: 0, stencil: 0, acc: 16161616, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.20106] Single Buffer requirement not met.
xglx_config D        xglx_config.c:238  get_visuals_new                  [   0.20108] -- 
xglx_config D        xglx_config.c:239  get_visuals_new                  [   0.20111] Decoding visual no. 2...
xglx_config D        xglx_config.c:18   display_pixel_format             [   0.20114] Single-buffer: no
xglx_config D        xglx_config.c:22   display_pixel_format             [   0.20120] Swap method: undefined
xglx_config D        xglx_config.c:23   display_pixel_format             [   0.20124] Color format: r8 g8 b8 a8, 32 bit
xglx_config D        xglx_config.c:29   display_pixel_format             [   0.20126] Depth buffer: 0 bits
xglx_config D        xglx_config.c:30   display_pixel_format             [   0.20129] Sample buffers: no
xglx_config D        xglx_config.c:31   display_pixel_format             [   0.20131] Samples: 0
display  D   display_settings.c:212  debug_display_settings           [   0.20134] color: 32 (rgba 8888), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.20139] Score is : 769
xglx_config D        xglx_config.c:238  get_visuals_new                  [   0.20142] -- 
xglx_config D        xglx_config.c:239  get_visuals_new                  [   0.20145] Decoding visual no. 3...
xglx_config D        xglx_config.c:18   display_pixel_format             [   0.20148] Single-buffer: no
xglx_config D        xglx_config.c:20   display_pixel_format             [   0.20151] Swap method: copy
xglx_config D        xglx_config.c:23   display_pixel_format             [   0.20153] Color format: r8 g8 b8 a8, 32 bit
xglx_config D        xglx_config.c:29   display_pixel_format             [   0.20156] Depth buffer: 0 bits
xglx_config D        xglx_config.c:30   display_pixel_format             [   0.20162] Sample buffers: no
xglx_config D        xglx_config.c:31   display_pixel_format             [   0.20164] Samples: 0
display  D   display_settings.c:212  debug_display_settings           [   0.20167] color: 32 (rgba 8888), depth: 0, stencil: 0, acc: 16161616, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.20169] Score is : 769
xglx_config D        xglx_config.c:238  get_visuals_new                  [   0.20172] -- 
xglx_config D        xglx_config.c:239  get_visuals_new                  [   0.20176] Decoding visual no. 4...
xglx_config D        xglx_config.c:18   display_pixel_format             [   0.20179] Single-buffer: no
xglx_config D        xglx_config.c:22   display_pixel_format             [   0.20185] Swap method: undefined
xglx_config D        xglx_config.c:23   display_pixel_format             [   0.20188] Color format: r8 g8 b8 a8, 32 bit
xglx_config D        xglx_config.c:29   display_pixel_format             [   0.20190] Depth buffer: 0 bits
xglx_config D        xglx_config.c:30   display_pixel_format             [   0.20194] Sample buffers: no
xglx_config D        xglx_config.c:31   display_pixel_format             [   0.20197] Samples: 0
display  D   display_settings.c:212  debug_display_settings           [   0.20202] color: 32 (rgba 8888), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.20205] Score is : 769
xglx_config D        xglx_config.c:238  get_visuals_new                  [   0.20207] -- 
xglx_config D        xglx_config.c:239  get_visuals_new                  [   0.20210] Decoding visual no. 5...
xglx_config D        xglx_config.c:18   display_pixel_format             [   0.20212] Single-buffer: no
xglx_config D        xglx_config.c:20   display_pixel_format             [   0.20216] Swap method: copy
xglx_config D        xglx_config.c:23   display_pixel_format             [   0.20221] Color format: r8 g8 b8 a8, 32 bit
xglx_config D        xglx_config.c:29   display_pixel_format             [   0.20226] Depth buffer: 0 bits
xglx_config D        xglx_config.c:30   display_pixel_format             [   0.20228] Sample buffers: no
xglx_config D        xglx_config.c:31   display_pixel_format             [   0.20231] Samples: 0
display  D   display_settings.c:212  debug_display_settings           [   0.20233] color: 32 (rgba 8888), depth: 0, stencil: 0, acc: 16161616, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.20236] Score is : 769
xglx_config D        xglx_config.c:238  get_visuals_new                  [   0.20238] -- 
xglx_config D        xglx_config.c:239  get_visuals_new                  [   0.20241] Decoding visual no. 6...
xglx_config D        xglx_config.c:18   display_pixel_format             [   0.20247] Single-buffer: yes
xglx_config D        xglx_config.c:22   display_pixel_format             [   0.20250] Swap method: undefined
xglx_config D        xglx_config.c:23   display_pixel_format             [   0.20252] Color format: r8 g8 b8 a8, 32 bit
xglx_config D        xglx_config.c:29   display_pixel_format             [   0.20255] Depth buffer: 16 bits
xglx_config D        xglx_config.c:30   display_pixel_format             [   0.20257] Sample buffers: no
xglx_config D        xglx_config.c:31   display_pixel_format             [   0.20259] Samples: 0
display  D   display_settings.c:212  debug_display_settings           [   0.20265] color: 32 (rgba 8888), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.20268] Single Buffer requirement not met.
xglx_config D        xglx_config.c:238  get_visuals_new                  [   0.20270] -- 
xglx_config D        xglx_config.c:239  get_visuals_new                  [   0.20274] Decoding visual no. 7...
xglx_config D        xglx_config.c:18   display_pixel_format             [   0.20277] Single-buffer: yes
xglx_config D        xglx_config.c:20   display_pixel_format             [   0.20280] Swap method: copy
xglx_config D        xglx_config.c:23   display_pixel_format             [   0.20283] Color format: r8 g8 b8 a8, 32 bit
xglx_config D        xglx_config.c:29   display_pixel_format             [   0.20289] Depth buffer: 16 bits
xglx_config D        xglx_config.c:30   display_pixel_format             [   0.20291] Sample buffers: no
xglx_config D        xglx_config.c:31   display_pixel_format             [   0.20294] Samples: 0
display  D   display_settings.c:212  debug_display_settings           [   0.20296] color: 32 (rgba 8888), depth: 16, stencil: 0, acc: 16161616, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.20299] Single Buffer requirement not met.
xglx_config D        xglx_config.c:238  get_visuals_new                  [   0.20301] -- 
xglx_config D        xglx_config.c:239  get_visuals_new                  [   0.20303] Decoding visual no. 8...
xglx_config D        xglx_config.c:18   display_pixel_format             [   0.20310] Single-buffer: no
xglx_config D        xglx_config.c:22   display_pixel_format             [   0.20314] Swap method: undefined
xglx_config D        xglx_config.c:23   display_pixel_format             [   0.20317] Color format: r8 g8 b8 a8, 32 bit
xglx_config D        xglx_config.c:29   display_pixel_format             [   0.20319] Depth buffer: 16 bits
xglx_config D        xglx_config.c:30   display_pixel_format             [   0.20322] Sample buffers: no
xglx_config D        xglx_config.c:31   display_pixel_format             [   0.20330] Samples: 0
display  D   display_settings.c:212  debug_display_settings           [   0.20333] color: 32 (rgba 8888), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.20336] Score is : 769
xglx_config D        xglx_config.c:238  get_visuals_new                  [   0.20338] -- 
xglx_config D        xglx_config.c:239  get_visuals_new                  [   0.20341] Decoding visual no. 9...
xglx_config D        xglx_config.c:18   display_pixel_format             [   0.20343] Single-buffer: no
xglx_config D        xglx_config.c:20   display_pixel_format             [   0.20349] Swap method: copy
xglx_config D        xglx_config.c:23   display_pixel_format             [   0.20352] Color format: r8 g8 b8 a8, 32 bit
xglx_config D        xglx_config.c:29   display_pixel_format             [   0.20355] Depth buffer: 16 bits
xglx_config D        xglx_config.c:30   display_pixel_format             [   0.20357] Sample buffers: no
xglx_config D        xglx_config.c:31   display_pixel_format             [   0.20359] Samples: 0
display  D   display_settings.c:212  debug_display_settings           [   0.20362] color: 32 (rgba 8888), depth: 16, stencil: 0, acc: 16161616, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.20368] Score is : 769
xglx_config D        xglx_config.c:238  get_visuals_new                  [   0.20370] -- 
xglx_config D        xglx_config.c:239  get_visuals_new                  [   0.20378] Decoding visual no. 10...
xglx_config D        xglx_config.c:18   display_pixel_format             [   0.20380] Single-buffer: no
xglx_config D        xglx_config.c:22   display_pixel_format             [   0.20381] Swap method: undefined
xglx_config D        xglx_config.c:23   display_pixel_format             [   0.20382] Color format: r8 g8 b8 a8, 32 bit
xglx_config D        xglx_config.c:29   display_pixel_format             [   0.20384] Depth buffer: 16 bits
xglx_config D        xglx_config.c:30   display_pixel_format             [   0.20385] Sample buffers: no
xglx_config D        xglx_config.c:31   display_pixel_format             [   0.20386] Samples: 0
display  D   display_settings.c:212  debug_display_settings           [   0.20387] color: 32 (rgba 8888), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.20388] Score is : 769
xglx_config D        xglx_config.c:238  get_visuals_new                  [   0.20389] -- 
xglx_config D        xglx_config.c:239  get_visuals_new                  [   0.20392] Decoding visual no. 11...
xglx_config D        xglx_config.c:18   display_pixel_format             [   0.20394] Single-buffer: no
xglx_config D        xglx_config.c:20   display_pixel_format             [   0.20397] Swap method: copy
xglx_config D        xglx_config.c:23   display_pixel_format             [   0.20400] Color format: r8 g8 b8 a8, 32 bit
xglx_config D        xglx_config.c:29   display_pixel_format             [   0.20403] Depth buffer: 16 bits
xglx_config D        xglx_config.c:30   display_pixel_format             [   0.20404] Sample buffers: no
xglx_config D        xglx_config.c:31   display_pixel_format             [   0.20412] Samples: 0
display  D   display_settings.c:212  debug_display_settings           [   0.20413] color: 32 (rgba 8888), depth: 16, stencil: 0, acc: 16161616, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.20416] Score is : 769
xglx_config D        xglx_config.c:238  get_visuals_new                  [   0.20419] -- 
xglx_config D        xglx_config.c:239  get_visuals_new                  [   0.20421] Decoding visual no. 12...
xglx_config D        xglx_config.c:18   display_pixel_format             [   0.20430] Single-buffer: yes
xglx_config D        xglx_config.c:22   display_pixel_format             [   0.20434] Swap method: undefined
xglx_config D        xglx_config.c:23   display_pixel_format             [   0.20440] Color format: r8 g8 b8 a8, 32 bit
xglx_config D        xglx_config.c:29   display_pixel_format             [   0.20443] Depth buffer: 24 bits
xglx_config D        xglx_config.c:30   display_pixel_format             [   0.20445] Sample buffers: no
xglx_config D        xglx_config.c:31   display_pixel_format             [   0.20447] Samples: 0
display  D   display_settings.c:212  debug_display_settings           [   0.20450] color: 32 (rgba 8888), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.20452] Single Buffer requirement not met.
xglx_config D        xglx_config.c:238  get_visuals_new                  [   0.20455] -- 
xglx_config D        xglx_config.c:239  get_visuals_new                  [   0.20457] Decoding visual no. 13...
xglx_config D        xglx_config.c:18   display_pixel_format             [   0.20460] Single-buffer: yes
xglx_config D        xglx_config.c:20   display_pixel_format             [   0.20468] Swap method: copy
xglx_config D        xglx_config.c:23   display_pixel_format             [   0.20470] Color format: r8 g8 b8 a8, 32 bit
xglx_config D        xglx_config.c:29   display_pixel_format             [   0.20472] Depth buffer: 24 bits
xglx_config D        xglx_config.c:30   display_pixel_format             [   0.20479] Sample buffers: no
xglx_config D        xglx_config.c:31   display_pixel_format             [   0.20482] Samples: 0
display  D   display_settings.c:212  debug_display_settings           [   0.20484] color: 32 (rgba 8888), depth: 24, stencil: 0, acc: 16161616, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.20491] Single Buffer requirement not met.
xglx_config D        xglx_config.c:238  get_visuals_new                  [   0.20494] -- 
xglx_config D        xglx_config.c:239  get_visuals_new                  [   0.20497] Decoding visual no. 14...
xglx_config D        xglx_config.c:18   display_pixel_format             [   0.20500] Single-buffer: no
xglx_config D        xglx_config.c:22   display_pixel_format             [   0.20503] Swap method: undefined
xglx_config D        xglx_config.c:23   display_pixel_format             [   0.20505] Color format: r8 g8 b8 a8, 32 bit
xglx_config D        xglx_config.c:29   display_pixel_format             [   0.20508] Depth buffer: 24 bits
xglx_config D        xglx_config.c:30   display_pixel_format             [   0.20510] Sample buffers: no
xglx_config D        xglx_config.c:31   display_pixel_format             [   0.20516] Samples: 0
display  D   display_settings.c:212  debug_display_settings           [   0.20517] color: 32 (rgba 8888), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.20520] Score is : 769
xglx_config D        xglx_config.c:238  get_visuals_new                  [   0.20524] -- 
xglx_config D        xglx_config.c:239  get_visuals_new                  [   0.20527] Decoding visual no. 15...
xglx_config D        xglx_config.c:18   display_pixel_format             [   0.20530] Single-buffer: no
xglx_config D        xglx_config.c:20   display_pixel_format             [   0.20537] Swap method: copy
xglx_config D        xglx_config.c:23   display_pixel_format             [   0.20538] Color format: r8 g8 b8 a8, 32 bit
xglx_config D        xglx_config.c:29   display_pixel_format             [   0.20540] Depth buffer: 24 bits
xglx_config D        xglx_config.c:30   display_pixel_format             [   0.20544] Sample buffers: no
xglx_config D        xglx_config.c:31   display_pixel_format             [   0.20546] Samples: 0
display  D   display_settings.c:212  debug_display_settings           [   0.20549] color: 32 (rgba 8888), depth: 24, stencil: 0, acc: 16161616, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.20554] Score is : 769
xglx_config D        xglx_config.c:238  get_visuals_new                  [   0.20557] -- 
xglx_config D        xglx_config.c:239  get_visuals_new                  [   0.20559] Decoding visual no. 16...
xglx_config D        xglx_config.c:18   display_pixel_format             [   0.20562] Single-buffer: no
xglx_config D        xglx_config.c:22   display_pixel_format             [   0.20566] Swap method: undefined
xglx_config D        xglx_config.c:23   display_pixel_format             [   0.20568] Color format: r8 g8 b8 a8, 32 bit
xglx_config D        xglx_config.c:29   display_pixel_format             [   0.20570] Depth buffer: 24 bits
xglx_config D        xglx_config.c:30   display_pixel_format             [   0.20578] Sample buffers: no
xglx_config D        xglx_config.c:31   display_pixel_format             [   0.20580] Samples: 0
display  D   display_settings.c:212  debug_display_settings           [   0.20583] color: 32 (rgba 8888), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.20585] Score is : 769
xglx_config D        xglx_config.c:238  get_visuals_new                  [   0.20588] -- 
xglx_config D        xglx_config.c:239  get_visuals_new                  [   0.20590] Decoding visual no. 17...
xglx_config D        xglx_config.c:18   display_pixel_format             [   0.20596] Single-buffer: no
xglx_config D        xglx_config.c:20   display_pixel_format             [   0.20600] Swap method: copy
xglx_config D        xglx_config.c:23   display_pixel_format             [   0.20602] Color format: r8 g8 b8 a8, 32 bit
xglx_config D        xglx_config.c:29   display_pixel_format             [   0.20605] Depth buffer: 24 bits
xglx_config D        xglx_config.c:30   display_pixel_format             [   0.20607] Sample buffers: no
xglx_config D        xglx_config.c:31   display_pixel_format             [   0.20610] Samples: 0
display  D   display_settings.c:212  debug_display_settings           [   0.20612] color: 32 (rgba 8888), depth: 24, stencil: 0, acc: 16161616, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.20618] Score is : 769
xglx_config D        xglx_config.c:238  get_visuals_new                  [   0.20620] -- 
xglx_config D        xglx_config.c:239  get_visuals_new                  [   0.20624] Decoding visual no. 18...
xglx_config D        xglx_config.c:18   display_pixel_format             [   0.20627] Single-buffer: yes
xglx_config D        xglx_config.c:22   display_pixel_format             [   0.20630] Swap method: undefined
xglx_config D        xglx_config.c:23   display_pixel_format             [   0.20636] Color format: r8 g8 b8 a8, 32 bit
xglx_config D        xglx_config.c:29   display_pixel_format             [   0.20639] Depth buffer: 24 bits
xglx_config D        xglx_config.c:30   display_pixel_format             [   0.20641] Sample buffers: no
xglx_config D        xglx_config.c:31   display_pixel_format             [   0.20644] Samples: 0
display  D   display_settings.c:212  debug_display_settings           [   0.20646] color: 32 (rgba 8888), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.20649] Single Buffer requirement not met.
xglx_config D        xglx_config.c:238  get_visuals_new                  [   0.20651] -- 
xglx_config D        xglx_config.c:239  get_visuals_new                  [   0.20661] Decoding visual no. 19...
xglx_config D        xglx_config.c:18   display_pixel_format             [   0.20663] Single-buffer: yes
xglx_config D        xglx_config.c:20   display_pixel_format             [   0.20664] Swap method: copy
xglx_config D        xglx_config.c:23   display_pixel_format             [   0.20666] Color format: r8 g8 b8 a8, 32 bit
xglx_config D        xglx_config.c:29   display_pixel_format             [   0.20667] Depth buffer: 24 bits
xglx_config D        xglx_config.c:30   display_pixel_format             [   0.20668] Sample buffers: no
xglx_config D        xglx_config.c:31   display_pixel_format             [   0.20669] Samples: 0
display  D   display_settings.c:212  debug_display_settings           [   0.20670] color: 32 (rgba 8888), depth: 24, stencil: 8, acc: 16161616, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.20671] Single Buffer requirement not met.
xglx_config D        xglx_config.c:238  get_visuals_new                  [   0.20674] -- 
xglx_config D        xglx_config.c:239  get_visuals_new                  [   0.20675] Decoding visual no. 20...
xglx_config D        xglx_config.c:18   display_pixel_format             [   0.20677] Single-buffer: no
xglx_config D        xglx_config.c:22   display_pixel_format             [   0.20678] Swap method: undefined
xglx_config D        xglx_config.c:23   display_pixel_format             [   0.20679] Color format: r8 g8 b8 a8, 32 bit
xglx_config D        xglx_config.c:29   display_pixel_format             [   0.20680] Depth buffer: 24 bits
xglx_config D        xglx_config.c:30   display_pixel_format             [   0.20681] Sample buffers: no
xglx_config D        xglx_config.c:31   display_pixel_format             [   0.20682] Samples: 0
display  D   display_settings.c:212  debug_display_settings           [   0.20683] color: 32 (rgba 8888), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.20684] Score is : 769
xglx_config D        xglx_config.c:238  get_visuals_new                  [   0.20685] -- 
xglx_config D        xglx_config.c:239  get_visuals_new                  [   0.20686] Decoding visual no. 21...
xglx_config D        xglx_config.c:18   display_pixel_format             [   0.20688] Single-buffer: no
xglx_config D        xglx_config.c:20   display_pixel_format             [   0.20689] Swap method: copy
xglx_config D        xglx_config.c:23   display_pixel_format             [   0.20690] Color format: r8 g8 b8 a8, 32 bit
xglx_config D        xglx_config.c:29   display_pixel_format             [   0.20691] Depth buffer: 24 bits
xglx_config D        xglx_config.c:30   display_pixel_format             [   0.20692] Sample buffers: no
xglx_config D        xglx_config.c:31   display_pixel_format             [   0.20693] Samples: 0
display  D   display_settings.c:212  debug_display_settings           [   0.20694] color: 32 (rgba 8888), depth: 24, stencil: 8, acc: 16161616, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.20695] Score is : 769
xglx_config D        xglx_config.c:238  get_visuals_new                  [   0.20696] -- 
xglx_config D        xglx_config.c:239  get_visuals_new                  [   0.20697] Decoding visual no. 22...
xglx_config D        xglx_config.c:18   display_pixel_format             [   0.20699] Single-buffer: no
xglx_config D        xglx_config.c:22   display_pixel_format             [   0.20700] Swap method: undefined
xglx_config D        xglx_config.c:23   display_pixel_format             [   0.20701] Color format: r8 g8 b8 a8, 32 bit
xglx_config D        xglx_config.c:29   display_pixel_format             [   0.20702] Depth buffer: 24 bits
xglx_config D        xglx_config.c:30   display_pixel_format             [   0.20703] Sample buffers: no
xglx_config D        xglx_config.c:31   display_pixel_format             [   0.20704] Samples: 0
display  D   display_settings.c:212  debug_display_settings           [   0.20705] color: 32 (rgba 8888), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.20706] Score is : 769
xglx_config D        xglx_config.c:238  get_visuals_new                  [   0.20707] -- 
xglx_config D        xglx_config.c:239  get_visuals_new                  [   0.20708] Decoding visual no. 23...
xglx_config D        xglx_config.c:18   display_pixel_format             [   0.20710] Single-buffer: no
xglx_config D        xglx_config.c:20   display_pixel_format             [   0.20712] Swap method: copy
